[2024-09-04 10:08:50.986] [info] odom: [x 1.1110, y -13.4351, yaw -2.3140] vel: [v 0.0000, w 0.5000] estimate: [x 6.9004, y -14.9957, yaw -2.2818] encoder: [x -2.7517, y -13.5648, yaw -1.3282]
[2024-09-04 10:08:51.002] [info] odom: [x 1.1110, y -13.4351, yaw -2.3025] vel: [v 0.0000, w 0.5000] estimate: [x 6.9003, y -14.9957, yaw -2.2734] encoder: [x -2.7520, y -13.5638, yaw -1.3166]
[2024-09-04 10:08:51.024] [info] odom: [x 1.1110, y -13.4351, yaw -2.2926] vel: [v 0.0000, w 0.5000] estimate: [x 6.9003, y -14.9957, yaw -2.2619] encoder: [x -2.7520, y -13.5638, yaw -1.3090]
[2024-09-04 10:08:51.052] [info] odom: [x 1.1110, y -13.4351, yaw -2.2878] vel: [v 0.0000, w 0.5000] estimate: [x 6.9003, y -14.9957, yaw -2.2519] encoder: [x -2.7517, y -13.5647, yaw -1.2977]
[2024-09-04 10:08:51.071] [info] odom: [x 1.1109, y -13.4351, yaw -2.2731] vel: [v 0.0000, w 0.5000] estimate: [x 6.9003, y -14.9957, yaw -2.2471] encoder: [x -2.7517, y -13.5647, yaw -1.2903]
[2024-09-04 10:08:51.107] [info] odom: [x 1.1110, y -13.4351, yaw -2.2649] vel: [v 0.0000, w 0.5000] estimate: [x 6.9001, y -14.9952, yaw -2.2325] encoder: [x -2.7520, y -13.5638, yaw -1.2788]
[2024-09-04 10:08:51.118] [info] odom: [x 1.1111, y -13.4351, yaw -2.2535] vel: [v 0.0000, w 0.5000] estimate: [x 6.8998, y -14.9945, yaw -2.2245] encoder: [x -2.7517, y -13.5647, yaw -1.2677]
[2024-09-04 10:08:51.146] [info] odom: [x 1.1111, y -13.4350, yaw -2.2455] vel: [v 0.0000, w 0.5000] estimate: [x 6.8995, y -14.9937, yaw -2.2134] encoder: [x -2.7517, y -13.5647, yaw -1.2601]
[2024-09-04 10:08:51.168] [info] odom: [x 1.1112, y -13.4349, yaw -2.2346] vel: [v 0.0000, w 0.5000] estimate: [x 6.8994, y -14.9932, yaw -2.2055] encoder: [x -2.7520, y -13.5639, yaw -1.2487]
[2024-09-04 10:08:51.181] [info] odom: [x 1.1112, y -13.4349, yaw -2.2245] vel: [v 0.0000, w 0.5000] estimate: [x 6.8995, y -14.9930, yaw -2.1845] encoder: [x -2.7517, y -13.5648, yaw -1.2300]
[2024-09-04 10:08:51.182] [info] odom: [x 1.1112, y -13.4348, yaw -2.2164] vel: [v 0.0000, w 0.5000] estimate: [x 6.8995, y -14.9930, yaw -2.1845] encoder: [x -2.7517, y -13.5648, yaw -1.2300]
[2024-09-04 10:08:51.205] [info] odom: [x 1.1112, y -13.4348, yaw -2.2068] vel: [v 0.0000, w 0.5000] estimate: [x 6.8995, y -14.9930, yaw -2.1763] encoder: [x -2.7519, y -13.5640, yaw -1.2187]
[2024-09-04 10:08:51.228] [info] odom: [x 1.1111, y -13.4349, yaw -2.1949] vel: [v 0.0000, w 0.5000] estimate: [x 6.8995, y -14.9929, yaw -2.1668] encoder: [x -2.7517, y -13.5649, yaw -1.2076]
